a,t,H,rho,p,w,KE_H,PE_H,KE_L,PE_L,n_a3,rho_kinetic,p_kinetic,w_kinetic,rel_dev_rho,rel_dev_p,beta2_weighted,beta2_max,beta2_adiabatic_max,norm_dev_max
1.16591440117983218e+01,1.35935639087852655e+03,3.67821127229820430e-04,2.69350644582043230e+00,7.70255492910093986e-01,2.85967569932982613e-01,2.31076647873028218e+00,3.82739967090150679e-01,1.34675322291021615e+00,1.34675322291021615e+00,1.45788110314609685e+03,2.69350647839534973e+00,7.70255942062096355e-01,2.85967733228165322e-01,-1.20938700877176754e-08,-5.83120464044928942e-07,1.83017559164385643e-08,2.04387369310994289e-05,2.04022229593460155e-05,2.42863034127793753e-08
1.25892541179416799e+01,1.58489319246111540e+03,3.15478672240096221e-04,2.00454762115862151e+00,5.61217097609668425e-01,2.79971945632943808e-01,1.68365129282900527e+00,3.20896328329615899e-01,1.00227381057931075e+00,1.00227381057931075e+00,1.45788110329007191e+03,2.00454764842585353e+00,5.61215390189686136e-01,2.79971090051364779e-01,-1.36026858973651703e-08,3.04236129681250077e-06,1.92005254751762770e-08,2.04345472090394245e-05,2.04022338076107222e-05,2.93229089898261464e-08
1.35935639087852564e+01,1.84784979742229098e+03,2.70584763273231819e-04,1.49397359375165206e+00,4.08454321496063866e-01,2.73401299195896286e-01,1.22536296448819160e+00,2.68610629263461076e-01,7.46986796875826031e-01,7.46986796875826031e-01,1.45788110348778901e+03,1.49397361425196751e+00,4.08453960831283158e-01,2.73401054031195856e-01,-1.37220063658680290e-08,8.82999836685354468e-07,1.86416835671452935e-08,2.04092398569241620e-05,2.04022369122583816e-05,2.97910955904256980e-08
1.46779926762206987e+01,2.15443469003188466e+03,2.32079441680638839e-04,1.11520771155838072e+00,2.96918277655533303e-01,2.66244821102090912e-01,8.90754832966599852e-01,2.24452878591780730e-01,5.57603855779190360e-01,5.57603855779190360e-01,1.45788110357920368e+03,1.11520772819067804e+00,2.96916684409727294e-01,2.66243388477451937e-01,-1.49140800379599828e-08,5.36596927577848722e-06,1.90385919659534759e-08,2.03733512780459576e-05,2.04022477573523085e-05,3.50302753471254391e-08
1.58489319246111435e+01,2.51188643150958296e+03,1.99053585276748405e-04,8.33900108156328423e-01,2.15557268913797312e-01,2.58492913965886584e-01,6.46671806741391908e-01,1.87228301414936654e-01,4.16950054078164212e-01,4.16950054078164212e-01,1.45788110366861952e+03,8.33900121354169799e-01,2.15556874656254061e-01,2.58492437087323390e-01,-1.58266452268781647e-08,1.82901864707453675e-06,1.89929857928349802e-08,2.03794388228310449e-05,2.04022495971697406e-05,3.64456997914430758e-08
1.71132830416178052e+01,2.92864456462523594e+03,1.70727443691680124e-04,6.24707782060638039e-01,1.56273826118138559e-01,2.50155081472907992e-01,4.68821478354415622e-01,1.55886303706222640e-01,3.12353891030319020e-01,3.12353891030319020e-01,1.45788110368141997e+03,6.24707792415561070e-01,1.56272316051817572e-01,2.50152660090181611e-01,-1.65756264862698084e-08,9.66304435192403005e-06,1.88247397521110480e-08,2.03813222070067252e-05,2.04022548885210753e-05,3.21488231591615659e-08
1.84784979742229147e+01,3.41454887383360301e+03,1.46432228231261767e-04,4.68924158904645616e-01,1.13123123094112404e-01,2.41239699311622952e-01,3.39369369282337241e-01,1.29554789622308320e-01,2.34462079452322808e-01,2.34462079452322808e-01,1.45788110420876910e+03,4.68924166812805354e-01,1.13123261341673484e-01,2.41239990061830861e-01,-1.68644746802418303e-08,-1.22209667083358218e-06,1.87484869069029826e-08,2.03916099010977501e-05,2.04022567008668200e-05,3.37077319390033381e-08
1.99526231496888045e+01,3.98107170553497599e+03,1.25594321575478896e-04,3.52733802599536517e-01,8.17584073065585754e-02,2.31785008139353210e-01,2.45275221919675740e-01,1.07458580679860791e-01,1.76366901299768258e-01,1.76366901299768258e-01,1.45788110485296988e+03,3.52733808684251582e-01,8.17576598625707890e-02,2.31782885138055672e-01,-1.72501612131607090e-08,9.14218911161071446e-06,1.87396117872715264e-08,2.04136148541782111e-05,2.04022524403946807e-05,3.40208978766298742e-08
2.15443469003188532e+01,4.64158883361278549e+03,1.07721734501594035e-04,2.65927227715232750e-01,5.89886741621088381e-02,2.21822619176388569e-01,1.76966022486326507e-01,8.89612052289061872e-02,1.32963613857616375e-01,1.32963613857616375e-01,1.45788110542990307e+03,2.65927232569346972e-01,5.89887647428419398e-02,2.21822955749592848e-01,-1.82535431771562452e-08,-1.53555907631866200e-06,1.89995103813442193e-08,2.03944414664309621e-05,2.04022549918306583e-05,3.72041284446567033e-08
2.32630506715362628e+01,5.41169526546463749e+03,9.23924898711145310e-05,2.00954360921716202e-01,4.24848221489261615e-02,2.11415278345099239e-01,1.27454466446778492e-01,7.34998944749377242e-02,1.00477180460858101e-01,1.00477180460858101e-01,1.45788110617172265e+03,2.00954364613475739e-01,4.24847775412470693e-02,2.11415052482010618e-01,-1.83711338843627668e-08,1.04996852222876947e-06,1.87840832984987166e-08,2.04013977856616216e-05,2.04022526351366727e-05,3.96655848167171143e-08
