m,node,k,t0,a_end,beta2_initial,beta2_kink,beta2_adiabatic_kink,beta2_end,beta2_adiabatic_end,beta2_kink_tail_theory
1.00000000000000006e-01,1.80000000000000000e+01,7.84771443465348897e-03,-1.01458503109508626e+01,3.16227766016837904e+02,3.90624707031243055e-13,3.26154330941648696e-01,2.28511582247870410e-01,3.37650956436761129e-01,3.37650961173283359e-01,3.75578322889659511e+00
1.00000000000000006e-01,1.90000000000000000e+01,9.66230982943438316e-03,-9.93783991311076420e+00,3.16227766016837904e+02,3.90624707031244721e-13,3.19836325993644477e-01,2.14553021856192183e-01,3.34954843830007787e-01,3.34954849478730110e-01,5.62210357409388717e+00
1.00000000000000006e-01,2.00000000000000000e+01,1.19822951464081725e-02,-9.72264248968907729e+00,3.16227766016837904e+02,3.90624707031243055e-13,3.11581640832076845e-01,2.02802664944191025e-01,3.31462833436143633e-01,3.31462840197661646e-01,8.47609462618470566e+00
1.00000000000000006e-01,2.10000000000000000e+01,1.49588661925348504e-02,-9.50076846512505568e+00,3.16227766016837904e+02,3.90624707031243055e-13,3.00833877777379022e-01,1.97010018765800904e-01,3.26935370297543326e-01,3.26935378418055089e-01,1.28006930492358730e+01
1.00000000000000006e-01,2.20000000000000000e+01,1.87900701257591105e-02,-9.27274410003304617e+00,3.16227766016837904e+02,3.90624707031243458e-13,2.86930506799442542e-01,2.03349794609812812e-01,3.21064462111017357e-01,3.21064471896768233e-01,1.92070543519782824e+01
1.00000000000000006e-01,2.30000000000000000e+01,2.37352765276552212e-02,-9.03911024296677468e+00,3.16227766016837904e+02,3.90624707031244822e-13,2.69140560900947956e-01,2.30864687235019211e-01,3.13458359186288449e-01,3.13458371029055771e-01,2.82787191331291687e+01
1.00000000000000006e-01,2.40000000000000000e+01,3.01339245315235399e-02,-8.80042104758364374e+00,3.16227766016837904e+02,3.90624707031244115e-13,2.46772895640039069e-01,2.90203274736763939e-01,3.03626719417837976e-01,3.03626733844388652e-01,4.00868921158902580e+01
1.00000000000000006e-01,2.50000000000000000e+01,3.84296765245968619e-02,-8.55724265825148400e+00,3.16227766016837904e+02,3.90624707031243105e-13,2.19403134274898243e-01,3.87779507084673847e-01,2.90970835698267982e-01,2.90970853470857382e-01,5.32015347396149068e+01
1.00000000000000006e-01,2.60000000000000000e+01,4.92013360351236523e-02,-8.31015186721516663e+00,3.16227766016837904e+02,3.90624707031244115e-13,1.87250194917148005e-01,5.12572685527450944e-01,2.74788548182157533e-01,2.74788570502025209e-01,6.35681429773853708e+01
1.00000000000000006e-01,2.70000000000000000e+01,6.32021234210165678e-02,-8.05973474650797073e+00,3.16227766016837904e+02,3.90624707031243055e-13,1.51627512323617514e-01,6.21276361637411734e-01,2.54312614194971864e-01,2.54312643091521406e-01,6.50897745749043395e+01
