m,a,n_a3,rho_a3,p_a3,w,n_a3_tail_corrected,rho_a3_tail_corrected,p_a3_tail_corrected,w_tail_corrected,rho_a3_instantaneous,p_a3_instantaneous,w_instantaneous
1.00000000000000006e-01,3.16227766016837908e+00,1.45363729276271666e-03,2.53995251639930325e-04,5.20146706933542280e-05,2.04785996421269545e-01,1.45363993129562922e-03,2.54045315189415960e-04,5.20313580217086444e-05,2.04811326604917354e-01,2.65997455631833012e-04,5.60148443189445488e-05,2.10584135798932898e-01
1.00000000000000006e-01,3.48070058842841057e+00,1.45363729276271666e-03,2.39907195850821270e-04,4.59834429874207156e-05,1.91671795522190463e-01,1.45363993129562922e-03,2.39952679615750811e-04,4.59986036684162351e-05,1.91698645508257215e-01,2.50811570660222887e-04,4.96176185170332139e-05,1.97828267597154578e-01
1.00000000000000006e-01,3.83118684955728828e+00,1.45363729276271666e-03,2.27467446862526849e-04,4.05527803325841539e-05,1.78279489623378057e-01,1.45363993129562922e-03,2.27508769827830271e-04,4.05665540225777984e-05,1.78307649649184857e-01,2.37374440371025609e-04,4.38544352900325113e-05,1.84747924930275975e-01
1.00000000000000006e-01,4.21696503428582226e+00,1.45363729276271666e-03,2.16510131787850569e-04,3.56747201579837815e-05,1.64771596892010486e-01,1.45363993129562922e-03,2.16547674610224493e-04,3.56872337367227858e-05,1.64800817191678967e-01,2.25511004119885981e-04,3.86742690607477582e-05,1.71496150317293483e-01
1.00000000000000006e-01,4.64158883361277841e+00,1.45363729276271666e-03,2.06882717137390137e-04,3.13044596909429755e-05,1.51315006512379613e-01,1.45363993129562922e-03,2.06916825651810914e-04,3.13158284303489726e-05,1.51345007017677974e-01,2.15060381298294904e-04,3.40295342312737299e-05,1.58232464881915141e-01
1.00000000000000006e-01,5.10896977450692802e+00,1.45363729276271666e-03,1.98445158042420054e-04,2.73999651969952855e-05,1.38073236289989049e-01,1.45363993129562922e-03,1.98476146447887862e-04,2.74102938230202154e-05,1.38103718323738689e-01,2.05874943662116372e-04,2.98756687871667406e-05,1.45115613662043924e-01
1.00000000000000006e-01,5.62341325190349028e+00,1.45363729276271666e-03,1.91069145618518420e-04,2.39216793238473680e-05,1.25199069930466478e-01,1.45363993129562922e-03,1.91097299372378846e-04,2.39310629811825845e-05,1.25229728833319010e-01,1.97819492836728090e-04,2.61708183495439440e-05,1.32296458626270153e-01
1.00000000000000006e-01,6.18965818891260611e+00,1.45363729276271666e-03,1.84637425706980302e-04,2.08323156149285706e-05,1.12828239102452973e-01,1.45363993129562922e-03,1.84663004154484892e-04,2.08408407434538772e-05,1.12858776661181687e-01,1.90770515592537514e-04,2.28756095261619417e-05,1.19911661690014229e-01
1.00000000000000006e-01,6.81292069057961402e+00,1.45363729276271666e-03,1.79043165923772944e-04,1.80967256708859177e-05,1.01074651900372126e-01,1.45363993129562922e-03,1.79066404687101778e-04,1.81044708019321431e-05,1.01104787542742325e-01,1.84615493236241028e-04,1.99529978449360481e-05,1.08078674737246624e-01
1.00000000000000006e-01,7.49894209332455919e+00,1.45363729276271666e-03,1.74189352476650835e-04,1.56818222563621817e-05,9.00274444642892163e-02,1.45363993129562922e-03,1.74210465625404011e-04,1.56888587361223074e-05,9.00569244207019698e-02,1.79252246047527700e-04,1.73681733902627194e-05,9.68923613133285261e-02
