x0,w0_tangent,wa_tangent,a_zero,z_zero,a_cross,z_cross,a_bounce,z_bounce,q0,cs2_today,wfit_requested_defined,wfit_requested_w0,wfit_requested_wa,wfit_restricted_a_lo,wfit_restricted_w0,wfit_restricted_wa
-4.50000000000000011e-01,-8.18181818181818121e-01,-4.46280991735537125e+00,7.66309432393553092e-01,3.04955880389621292e-01,9.65489384605629719e-01,3.57441686512862677e-02,7.12998837011884490e-01,4.02526831868214696e-01,-3.52799090909090896e-01,-9.00000000000000178e+00,0.00000000000000000e+00,nan,nan,8.43432665301749207e-01,-5.51820387391464884e-01,-1.23190285116753326e+01
-4.49000000000000010e-01,-8.14882032667876732e-01,-4.43674427949842087e+00,7.65741374785526507e-01,3.05923948905185039e-01,9.64773676867724084e-01,3.65125251412778962e-02,7.12386306945465675e-01,4.03732764443142988e-01,-3.49359509981851168e-01,-8.80392156862745345e+00,0.00000000000000000e+00,nan,nan,8.42807437003454174e-01,-5.47746053325811832e-01,-1.22799328962447127e+01
-4.48000000000000009e-01,-8.11594202898550665e-01,-4.41083805923125372e+00,7.65172473108955642e-01,3.06894896436775477e-01,9.64056905670092057e-01,3.72831667078041828e-02,7.11773155789414247e-01,4.04941998537327263e-01,-3.45932391304347830e-01,-8.61538461538461675e+00,0.00000000000000000e+00,nan,nan,8.42181279687517215e-01,-5.43686144650343151e-01,-1.22409654478479908e+01
-4.47000000000000008e-01,-8.08318264014466603e-01,-4.38509003986148294e+00,7.64602724221361996e-01,3.07868738001628728e-01,9.63339067053458509e-01,3.80561052700534308e-02,7.11159380777576011e-01,4.06154551328013147e-01,-3.42517667269439441e-01,-8.43396226415094574e+00,0.00000000000000000e+00,nan,nan,8.41554189895192817e-01,-5.39640597831332225e-01,-1.22021254895109408e+01
-4.46000000000000008e-01,-8.05054151624548631e-01,-4.35949901601741097e+00,7.64032124961505521e-01,3.08845488729133422e-01,9.62620157034910884e-01,3.88313528362294047e-02,7.10544979127599508e-01,4.07370440120188748e-01,-3.39115270758122755e-01,-8.25925925925926130e+00,0.00000000000000000e+00,nan,nan,8.40926164147086430e-01,-5.35609349763792819e-01,-1.21634123485979444e+01
-4.45000000000000007e-01,-8.01801801801801939e-01,-4.33406379352325377e+00,7.63460672149230968e-01,3.09825163861922492e-01,9.61900171607704690e-01,3.96089215044175269e-02,7.09929948040799674e-01,4.08589682347827887e-01,-3.35725135135135133e-01,-8.09090909090909172e+00,0.00000000000000000e+00,nan,nan,8.40297198942984269e-01,-5.31592337768242218e-01,-1.21248253567743909e+01
-4.44000000000000006e-01,-7.98561151079136611e-01,-4.30878318927591675e+00,7.62888362585311675e-01,3.10807778756977404e-01,9.61179106741066547e-01,4.03888234634623977e-02,7.09314284702022846e-01,4.09812295575143981e-01,-3.32347194244604349e-01,-7.92857142857142971e+00,0.00000000000000000e+00,nan,nan,8.39667290761681562e-01,-5.27589499587525879e-01,-1.20863638499694090e+01
-4.43000000000000005e-01,-7.95332136445242477e-01,-4.28365603112338889e+00,7.62315193051291806e-01,3.11793348886745481e-01,9.60456958379996451e-01,4.11710709938535313e-02,7.08697986279508640e-01,4.11038297497860583e-01,-3.28981382405745038e-01,-7.77192982456140413e+00,0.00000000000000000e+00,nan,nan,8.39036436060809354e-01,-5.23600773383641416e-01,-1.20480271683389262e+01
-4.42000000000000004e-01,-7.92114695340501718e-01,-4.25868115774463263e+00,7.61741160309327259e-01,3.12781889840271665e-01,9.59733722445066384e-01,4.19556764686241923e-02,7.08081049924750738e-01,4.12267705944499019e-01,-3.25627634408602207e-01,-7.62068965517241459e+00,0.00000000000000000e+00,nan,nan,8.38404631276659207e-01,-5.19626097734615988e-01,-1.20098146562291372e+01
-4.41000000000000003e-01,-7.88908765652951760e-01,-4.23385741853104758e+00,7.61166261102024566e-01,3.13773417324343162e-01,9.59009394832217921e-01,4.27426523542593362e-02,7.07463472772356772e-01,4.13500538877678236e-01,-3.22285885509838943e-01,-7.47457627118644119e+00,0.00000000000000000e+00,nan,nan,8.37771872824005559e-01,-5.15665411631417658e-01,-1.19717256621403472e+01
