q,r3,k,parity,type,index,branch,mult,f,w,eps_level0,eps_extrapolated,interpolated
3.10000000000000000e+02,9.60000000000000000e+01,4.40170421541475232e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.18797196263218403e+01,-1.18797196263218403e+01,0.00000000000000000e+00
3.09000000000000000e+02,1.44000000000000000e+02,4.39459895781173682e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.18690655574077102e+01,-1.18690655574077102e+01,0.00000000000000000e+00
3.08000000000000000e+02,9.60000000000000000e+01,4.38748219369606129e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.18583902933947876e+01,-1.18583902933947876e+01,0.00000000000000000e+00
3.07000000000000000e+02,7.20000000000000000e+01,4.38035386698380780e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2.88000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.18476937207372384e+01,-1.18476937207372384e+01,0.00000000000000000e+00
3.06000000000000000e+02,2.40000000000000000e+02,4.37321392113397511e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.60000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.18369757249032794e+01,-1.18369757249032794e+01,0.00000000000000000e+00
3.05000000000000000e+02,1.92000000000000000e+02,4.36606229914324473e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,7.68000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.18262361903631401e+01,-1.18262361903631401e+01,0.00000000000000000e+00
3.04000000000000000e+02,2.40000000000000000e+01,4.35889894354067398e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.18154750005772264e+01,-1.18154750005772264e+01,0.00000000000000000e+00
3.02000000000000000e+02,1.44000000000000000e+02,4.34453679924569158e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.17938871839864561e+01,-1.17938871839864561e+01,0.00000000000000000e+00
3.01000000000000000e+02,9.60000000000000000e+01,4.33733789322436802e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.17830603189419527e+01,-1.17830603189419527e+01,0.00000000000000000e+00
3.00000000000000000e+02,5.60000000000000000e+01,4.33012701892219365e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2.24000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.17722113221469158e+01,-1.17722113221469158e+01,0.00000000000000000e+00
